date,close,MA10,MACD,ROC,Momentum,RSI,Bollinger_Up,Bollinger_Down,CCI
2015-02-20 08:00:00,-0.00335,1.13802,-0.00056,-0.33074,-0.00445,34.88504,1.14314,1.1329,-1.92908
2015-02-20 12:00:00,-0.00179,1.13718,-0.00099,-0.45229,-0.00545,31.2169,1.14319,1.13117,-1.96086
2015-02-20 16:00:00,0.00792,1.13695,-0.00069,0.541,0.00237,54.65655,1.14297,1.13093,0.75073
2015-02-20 20:00:00,-0.00136,1.13654,-0.00055,0.57987,0.00142,51.31978,1.14237,1.13071,0.4491
2015-02-23 00:00:00,-0.00015,1.13636,-0.00045,-0.13255,0.00462,50.93868,1.14195,1.13077,0.4796
2015-02-23 04:00:00,2e-05,1.13644,-0.00036,-0.01143,0.00643,50.9926,1.14184,1.13104,0.47413
2015-02-23 08:00:00,-0.00651,1.13581,-0.00081,-0.57045,-0.008,36.48973,1.14186,1.12976,-1.5208
2015-02-23 12:00:00,0.00076,1.13533,-0.00109,-0.5054,-0.00588,38.74941,1.14158,1.12908,-1.07604
2015-02-23 16:00:00,0.00107,1.13495,-0.00121,0.16177,-0.00466,41.97878,1.14132,1.12858,-0.5999
2015-02-23 20:00:00,0.00036,1.13465,-0.00126,0.12633,-0.00432,43.10027,1.14116,1.12814,-0.38395
2015-02-24 00:00:00,0.00055,1.13473,-0.00125,0.08031,0.00274,44.90792,1.14126,1.1282,-0.2389
2015-02-24 04:00:00,-0.00097,1.1349,-0.0013,-0.03706,0.00101,42.27605,1.14141,1.12839,-0.58983
2015-02-24 08:00:00,-0.00271,1.13401,-0.00154,-0.32453,-0.00277,35.76875,1.14046,1.12756,-1.16008
2015-02-24 12:00:00,0.00299,1.13355,-0.00147,0.02471,-0.00014,45.965,1.1393,1.1278,-0.10084
2015-02-24 16:00:00,0.00026,1.13313,-0.00138,0.28754,-0.00043,46.78125,1.13852,1.12774,0.14471
2015-02-24 20:00:00,0.00045,1.13276,-0.00126,0.06265,0.00099,48.28359,1.13806,1.12746,0.45666
2015-02-25 00:00:00,0.0005,1.13308,-0.00111,0.08381,0.0042,50.02527,1.1382,1.12796,0.54335
2015-02-25 04:00:00,0.0003,1.13336,-0.00095,0.07055,0.00151,51.12265,1.13837,1.12835,0.56343
2015-02-25 08:00:00,0.00199,1.13374,-0.00066,0.20186,0.00324,57.93122,1.13874,1.12874,1.20878
2015-02-25 12:00:00,-0.00192,1.13388,-0.00058,0.00617,0.00087,50.40424,1.13879,1.12897,0.3913
2015-02-25 16:00:00,0.00143,1.13411,-0.0004,-0.0431,0.0018,55.2192,1.13906,1.12916,0.87238
2015-02-25 20:00:00,-0.00021,1.13442,-0.00026,0.1075,0.00129,54.3581,1.13919,1.12965,0.6872
2015-02-26 00:00:00,0.00039,1.13504,-0.00013,0.01584,-0.00031,55.781,1.1394,1.13068,0.64664
2015-02-26 04:00:00,-0.00016,1.13534,-3e-05,0.02025,0.00145,54.9994,1.1395,1.13118,0.45654
2015-02-26 08:00:00,0.00098,1.13571,0.00013,0.07215,0.001,58.91701,1.1398,1.13162,0.76194
