Symbol,Time,Open,High,Low,Last,Change,%Chg,Volume,"Open Int"
FXU04,06/17/2004,1284.5,1304.5,1277.5,1295.5,8,+0.62%,542989,1534031
FXU04,06/16/2004,1274.5,1293.5,1271.5,1287.5,3,+0.23%,1362021,1591636
FXM04,06/15/2004,1240.5,1286.5,1231.5,1284.5,57,+4.64%,1193587,1495535
FXM04,06/14/2004,1266.5,1272.5,1226.5,1227.5,-46.,-3.61%,1123270,1485410
FXM04,06/11/2004,1277.5,1282.5,1266.5,1273.5,-5.,-0.39%,844620,1433102
FXM04,06/10/2004,1261.5,1282.5,1260.5,1278.5,20,+1.59%,293635,1448020
FXM04,06/09/2004,1284.5,1292.5,1256.5,1258.5,-20.,-1.56%,339693,1434506
FXM04,06/08/2004,1292.5,1294.5,1270.5,1278.5,-5.,-0.39%,455312,1423914
FXM04,06/07/2004,1265.5,1284.5,1265.5,1283.5,30,+2.39%,383702,1447587
FXM04,06/04/2004,1220.5,1259.5,1215.5,1253.5,32,+2.62%,318729,1449641
FXM04,06/03/2004,1205.5,1228.5,1189.5,1221.5,-2.,-0.16%,475155,1468569
FXM04,06/02/2004,1209.5,1227.5,1201.5,1223.5,27,+2.26%,477532,1436706
FXM04,06/01/2004,1229.5,1230.5,1187.5,1196.5,-34.,-2.76%,343366,1460008
FXM04,05/31/2004,1216.5,1230.5,1211.5,1230.5,9,+0.74%,479396,1444574
FXM04,05/28/2004,1240.5,1250.5,1209.5,1221.5,-3.,-0.24%,65228,1458000
FXM04,05/27/2004,1215.5,1241.5,1213.5,1224.5,12,+0.99%,398665,1499097
FXM04,05/26/2004,1220.5,1224.5,1195.5,1212.5,9,+0.75%,403219,1506806
FXM04,05/25/2004,1170.5,1204.5,1162.5,1203.5,17,+1.43%,459068,1488630
FXM04,05/24/2004,1171.5,1208.5,1165.5,1186.5,34,+2.95%,458594,1486397
FXM04,05/21/2004,1175.5,1188.5,1145.5,1152.5,-10.,-0.86%,417064,1501090
FXM04,05/20/2004,1164.5,1177.5,1153.5,1162.5,-24.,-2.02%,432538,1480645
FXM04,05/19/2004,1165.5,1202.5,1160.5,1186.5,55,+4.86%,356573,1483230
FXM04,05/18/2004,1130.5,1145.5,1121.5,1131.5,17,+1.53%,471093,1490471
FXM04,05/17/2004,1115.5,1124.5,1089.5,1114.5,-42.,-3.63%,513413,1463569
FXM04,05/14/2004,1159.5,1174.5,1132.5,1156.5,-8.,-0.69%,614321,1425197
FXM04,05/13/2004,1153.5,1182.5,1142.5,1164.5,54,+4.86%,700445,1362350
FXM04,05/12/2004,1178.5,1185.5,1105.5,1110.5,-59.,-5.04%,536889,1394419
FXM04,05/11/2004,1150.5,1186.5,1150.5,1169.5,28,+2.45%,611269,1376489
FXM04,05/10/2004,1161.5,1170.5,1132.5,1141.5,-55.,-4.60%,504054,1363970
FXM04,05/07/2004,1222.5,1231.5,1187.5,1196.5,-7.,-0.58%,655318,1338822
FXM04,05/06/2004,1277.5,1278.5,1203.5,1203.5,-82.,-6.38%,631038,1315443
FXM04,05/05/2004,1245.5,1289.5,1242.5,1285.5,35,+2.80%,538153,1284897
FXM04,05/04/2004,1263.5,1271.5,1240.5,1250.5,-8.,-0.64%,453667,1295203
FXM04,05/03/2004,1222.5,1268.5,1222.5,1258.5,30,+2.44%,392743,1293785
FXM04,04/30/2004,1243.5,1257.5,1222.5,1228.5,-15.,-1.21%,301949,1291625
FXM04,04/29/2004,1282.5,1285.5,1234.5,1243.5,-45.,-3.49%,486378,1284716
FXM04,04/28/2004,1324.5,1328.5,1283.5,1288.5,-51.,-3.81%,709340,1253641
FXM04,04/27/2004,1331.5,1346.5,1323.5,1339.5,7,+0.53%,468297,1244088
FXM04,04/26/2004,1340.5,1358.5,1328.5,1332.5,-3.,-0.22%,333638,1223982
FXM04,04/23/2004,1353.5,1357.5,1333.5,1335.5,-14.,-1.04%,387757,1243150
FXM04,04/22/2004,1309.5,1349.5,1280.5,1349.5,41,+3.13%,411889,1247820
FXM04,04/21/2004,1293.5,1312.5,1287.5,1308.5,-13.,-0.98%,457324,1275626
FXM04,04/20/2004,1320.5,1338.5,1319.5,1321.5,15,+1.15%,446895,1268986
FXM04,04/19/2004,1297.5,1313.5,1283.5,1306.5,-7.,-0.53%,341511,1257853
FXM04,04/16/2004,1291.5,1316.5,1287.5,1313.5,21,+1.62%,315535,1249118
FXM04,04/15/2004,1298.5,1316.5,1285.5,1292.5,-12.,-0.92%,448346,1251491
FXM04,04/14/2004,1310.5,1314.5,1271.5,1304.5,-8.,-0.61%,391667,1242403
FXM04,04/13/2004,1337.5,1350.5,1312.5,1312.5,6,+0.46%,551922,1275133
